Termékcsoport;Cikkszám;Vonalkód;Megnevezés;Kiszerelés;;Nagyker nettó ár;Áfa;Nagyker bruttó ár;VTSZ;Státusz
Reformélelmiszer,élvezeti tea;39805;5411188118282;ALPRO KÓKUSZ FŐZŐKRÉM 250ML;250;ml;336;27;426;22029010;
Reformélelmiszer,élvezeti tea;12960;5411188543381;ALPRO SZÓJAITAL KÁLCIUMOS 1000ML;1000.000;ml;405;27;514;5411188080;
Reformélelmiszer,élvezeti tea;43894;5999538141451;SUNVITA KÉKÁFONYÁS GYÜMÖLCSSZELET 20G;20;g;44;27;55;20089798;
Reformélelmiszer,élvezeti tea;12307;4792175044403;MLESNA FEHÉR TEA SZÁLAS 25G;25.000;g;403;27;511;902200000;
Reformélelmiszer,élvezeti tea;12315;4792175074943;MLESNA ZÖLD TEA ÁFONYA 50DB;50.000;db;828;27;1 052;902200000;
Reformélelmiszer,élvezeti tea;12953;5411188300328;ALPRO SZÓJAITAL CSOKOLÁDÉS 1000ML;1000.000;ml;487;27;618;22029010;
Reformélelmiszer,élvezeti tea;17576;5999538140355;SUNVITA ÉTCSOKIBA MÁRTOTT KANDÍROZOTT NARANCS 150G;150.000;g;420;27;534;2106909800;
Reformélelmiszer,élvezeti tea;37086;5999562970188;BALANCE NYÍRFA PORCUKOR 500G;500;g;891;27;1 132;29054900;
Reformélelmiszer,élvezeti tea;41180;5999562980026;THETIS  BOLDOGSÁG TERMÉSZETES BÜKKI FORRÁSVÍZ OXIGÉNNEL DÚSÍTOTT 1500ML;1500;ml;139;27;177;08042090;
Reformélelmiszer,élvezeti tea;43536;5999563455455;ÉDEN PRÉMIUM HOMOKTÖVIS VELŐ 200ML;200;ml;659;27;837;2009409000;
Reformélelmiszer,élvezeti tea;43525;5999563455615;ÉDEN PRÉMIUM CHIA MAG 200G;200;g;534;27;678;1207999700;
Reformélelmiszer,élvezeti tea;40716;5999563455813;ÉDEN PRÉMIUM KÖLESTÉSZTA ORSÓ 200G;200;g;355;27;451;19021910;
Reformélelmiszer,élvezeti tea;41481;5999563456001;ÉDEN PRÉMIUM SZŐLŐMAGLISZT 250G;250;g;419;27;532;1208500000;
Reformélelmiszer,élvezeti tea;43122;5999564151103;SZAFI FITT BAMBUSZROST LISZT 150G;150;g;266;27;337;08042090;
Reformélelmiszer,élvezeti tea;43498;5999564430130 ;PALEONASI CSOKIS BANÁNOS GRANOLA 150G;150;g;863;18;1 018;1904901000;
Reformélelmiszer,élvezeti tea;43501;5999564430178;PALEONASI EPRES KÓKUSZOS GRANOLA POHÁRBAN 45G;45;g;283;18;334;1904901000;
Reformélelmiszer,élvezeti tea;33599;5999881430349;KLOROFILL HAJDINA LISZT 400G;400.000;g;299;27;380;11029090;
Reformélelmiszer,élvezeti tea;39165;5999881430417;KLOROFILL AMARÁNT LISZT 400G;400;g;454;27;577;110610;
Reformélelmiszer,élvezeti tea;18398;5999881680355;GESZTENYE MÉZ 60G;60.000;g;265;27;336;409000000;
Reformélelmiszer,élvezeti tea;18475;5999881861785;ATAISZ ZABFASÍRT MAGYAROS 200G;200.000;g;225;18;266;1904209900;
Reformélelmiszer,élvezeti tea;32767;5999881930108;TÜNDÉRKERT GOJI BOGYÓ 80G;80.000;g;322;27;409;813200000;
Reformélelmiszer,élvezeti tea;18600;5999882140421;CSÓKÁS MÉHKENYÉR 250G;250.000;g;1 466;27;1 862;409000000;
Reformélelmiszer,élvezeti tea;35796;4004192016128;DR.STEINBERGER HOMOKTÖVIS PLUS C-500 NATÚR ITAL 450ML;450.000;ml;1 806;27;2 293;20097099;
Reformélelmiszer,élvezeti tea;25873;5999882791142;BACH VIRÁGTERÁPIÁS RÁGÓGUMI PIROS RIBIZLI 40DB;40.000;db;859;27;1 091;210600000;
Reformélelmiszer,élvezeti tea;35420;5999882885582;FRISS PUFI PUFFASZTOTT DURUMBÚZA MÉZES-FAHÉJAS 85G;85.000;g;219;18;258;1904;
Reformélelmiszer,élvezeti tea;36949;5999883161524;BIOGOLD REPCE ÉTOLAJ HIDEGEN SAJTOLT 500ML;500;ml;437;27;555;151410;
Reformélelmiszer,élvezeti tea;41959;5999883164730;ALMITAS STEVIÁS MOGYORÓKRÉMES SZALONCUKOR 500G;500;g;2 070;27;2 629;3401;
Reformélelmiszer,élvezeti tea;36056;5999883164785;ALMITAS MÁKOLAJ 250ML;250.000;ml;1 967;27;2 497;151590;
Reformélelmiszer,élvezeti tea;19382;5999883561010;DR.SZALAY FÜREDI LÚGOS pH9 VÍZ 2000ML;2000.000;ml;240;27;305;2202901911;
Reformélelmiszer,élvezeti tea;43750;3760249760185;NATURE MOI VEGETÁRIÁNUS SPECIALITÁS NATÚR ÍZESÍTÉSSEL 200G;200;g;558;27;708;21069098-4;
Reformélelmiszer,élvezeti tea;38880;3800139117054;DETELINAS PEKÁNDIÓ 60G;60;g;535;27;679;29369000;
Reformélelmiszer,élvezeti tea;26394;3800205875109;MARETTI SNACK PARADICSOM OLÍVABOGYÓ OREGANO 70G;70.000;g;200;18;236;190540100;
Reformélelmiszer,élvezeti tea;38633;3830052040597;PLANETBIO MSM POR 300G ;300;g;3 933;27;4 994;11062090;
Reformélelmiszer,élvezeti tea;43982;3858890101454;ENCIAN INSTANT ALMÁS-FAHÉJAS ZABKÁSA CHIA MAGGAL 50G;50;g;236;18;279;1904901000;
Reformélelmiszer,élvezeti tea;42371;4016389048058;BAUER GUTEN MORGEN ITAL 1000ML;1000;ml;679;27;862;20094199;
Reformélelmiszer,élvezeti tea;36454;4004192016173;DR.STEINBERGER ACEROLA PLUS NATÚR ITAL 450ML;450.000;ml;1 806;27;2 293;20097099;
Reformélelmiszer,élvezeti tea;44559;4008100120761;HENGSTENBERG MÁLNAECET 500ML;500;ml;631;27;802;22090011;
Reformélelmiszer,élvezeti tea;24382;4011800559519;CORNY BIG BARNA CSOKIS 50G;50.000;g;113;27;143;19053111;
Reformélelmiszer,élvezeti tea;43090;4013743000738;RONDO MELANGE KOFFEINMENTES KÁVÉ 500G;500;g;1 150;27;1 461;08042090;
Reformélelmiszer,élvezeti tea;10906;4004192005405;DR.STEINBERGER  KINDERGLÜCK VASSAL 750ML;750.000;ml;932;27;1 183;2009709900;
Reformélelmiszer,élvezeti tea;11217;4005906004547;ACTIVEO O2 FITNESS ITAL ALMA ÉS KIWI 750ML;750.000;ml;276;27;351;2202100;
Reformélelmiszer,élvezeti tea;18919;5999882378336;MÉHES MÉZES SZÖRP MÁLNA CITROMFŰ 500ML;500;ml;690;27;876;21069030;
Reformélelmiszer,élvezeti tea;36995;5999882397337;GARDEN HOMOKTÖVIS-ALMA ITAL 100% 3000ML;3000;ml;1 737;27;2 205;20097199;
Reformélelmiszer,élvezeti tea;39891;5999882722245;ÉDEN KARAMELLA TUTTI FRUTTI GYÜMÖLCS ÍZŰ 120G;120;g;145;27;184;17049071;
Reformélelmiszer,élvezeti tea;35417;5999882885063;FRISS PUFI PUFFASZTOTT RIZS MÉZES-FAHÉJAS 85G;85.000;g;219;18;258;1904;
Reformélelmiszer,élvezeti tea;29235;5999882901237;TÖNKÖLYSZELET ZÖLDFŰSZERES 200G;200.000;g;449;18;529;190190000;
